HGT_ID,LLD_9002000001395260
HGT_seq_1,0_0
HGT_seq_2,0_0
HGT_seq_3,1_1
HGT_seq_4,0_0
HGT_seq_5,0_0
HGT_seq_6,0_0
HGT_seq_7,0_0
HGT_seq_8,0_0
HGT_seq_9,0_0
HGT_seq_10,0_0
HGT_seq_11,3_3
HGT_seq_12,0_0
HGT_seq_13,0_0
HGT_seq_14,0_0
HGT_seq_15,1_1
HGT_seq_16,0_0
HGT_seq_17,0_0
HGT_seq_18,0_0
HGT_seq_19,0_0
HGT_seq_20,0_0
HGT_seq_21,0_0
HGT_seq_22,0_0
HGT_seq_23,0_0
HGT_seq_24,0_0
HGT_seq_25,0_0
HGT_seq_26,0_0
HGT_seq_27,0_0
HGT_seq_28,1_1
HGT_seq_29,0_0
HGT_seq_30,0_0
HGT_seq_31,0_0
HGT_seq_32,0_0
HGT_seq_33,1_1
HGT_seq_34,4_4
HGT_seq_35,0_0
HGT_seq_36,0_0
HGT_seq_37,0_0
HGT_seq_38,0_0
HGT_seq_39,0_0
HGT_seq_40,0_0
HGT_seq_41,0_0
HGT_seq_42,0_0
HGT_seq_43,0_0
HGT_seq_44,0_0
HGT_seq_45,0_0
HGT_seq_46,0_0
HGT_seq_47,0_0
HGT_seq_48,0_0
HGT_seq_49,0_0
HGT_seq_50,0_0
HGT_seq_51,0_0
HGT_seq_52,0_0
HGT_seq_53,1_1
HGT_seq_54,0_0
HGT_seq_55,0_0
HGT_seq_56,0_0
HGT_seq_57,0_0
HGT_seq_58,0_0
HGT_seq_59,0_0
HGT_seq_60,3_3
HGT_seq_61,0_0
HGT_seq_62,0_0
HGT_seq_63,0_0
HGT_seq_64,0_0
HGT_seq_65,5_5
HGT_seq_66,0_0
HGT_seq_67,0_0
HGT_seq_68,0_0
HGT_seq_69,0_0
HGT_seq_70,0_0
HGT_seq_71,0_0
HGT_seq_72,0_0
HGT_seq_73,0_0
HGT_seq_74,0_0
HGT_seq_75,0_0
HGT_seq_76,0_0
HGT_seq_77,0_0
HGT_seq_78,0_0
HGT_seq_79,0_0
HGT_seq_80,0_0
HGT_seq_81,0_0
HGT_seq_82,0_0
HGT_seq_83,0_0
HGT_seq_84,6_6
HGT_seq_85,0_0
HGT_seq_86,0_0
HGT_seq_87,0_0
HGT_seq_88,0_0
HGT_seq_89,0_0
HGT_seq_90,0_0
HGT_seq_91,0_0
HGT_seq_92,0_0
HGT_seq_93,0_0
HGT_seq_94,0_0
HGT_seq_95,0_0
HGT_seq_96,0_0
HGT_seq_97,0_0
HGT_seq_98,0_0
HGT_seq_99,0_0
HGT_seq_100,0_0
HGT_seq_101,0_0
HGT_seq_102,0_0
HGT_seq_103,0_0
HGT_seq_104,0_0
HGT_seq_105,0_0
HGT_seq_106,0_0
HGT_seq_107,0_0
HGT_seq_108,0_0
HGT_seq_109,0_0
HGT_seq_110,0_0
HGT_seq_111,0_0
HGT_seq_112,4_4
HGT_seq_113,1_1
HGT_seq_114,0_0
HGT_seq_115,0_0
HGT_seq_116,0_0
HGT_seq_117,0_0
HGT_seq_118,0_0
HGT_seq_119,0_0
HGT_seq_120,1_1
HGT_seq_121,0_0
HGT_seq_122,0_0
HGT_seq_123,0_0
HGT_seq_124,1_1
HGT_seq_125,0_0
HGT_seq_126,0_0
HGT_seq_127,5_5
HGT_seq_128,0_0
HGT_seq_129,0_0
HGT_seq_130,0_0
HGT_seq_131,0_0
HGT_seq_132,0_0
HGT_seq_133,0_0
HGT_seq_134,0_0
HGT_seq_135,1_1
HGT_seq_136,0_0
HGT_seq_137,0_0
HGT_seq_138,0_0
HGT_seq_139,0_0
HGT_seq_140,0_0
HGT_seq_141,0_0
HGT_seq_142,0_0
HGT_seq_143,0_0
HGT_seq_144,0_0
HGT_seq_145,0_0
HGT_seq_146,1_1
HGT_seq_147,0_0
HGT_seq_148,0_0
HGT_seq_149,0_0
HGT_seq_150,0_0
HGT_seq_151,0_0
HGT_seq_152,1_1
HGT_seq_153,0_0
HGT_seq_154,0_0
HGT_seq_155,0_0
HGT_seq_156,0_0
HGT_seq_157,0_0
HGT_seq_158,0_0
HGT_seq_159,0_0
HGT_seq_160,0_0
HGT_seq_161,0_0
HGT_seq_162,0_0
HGT_seq_163,0_0
HGT_seq_164,0_0
HGT_seq_165,1_1
HGT_seq_166,0_0
HGT_seq_167,0_0
HGT_seq_168,2_2
HGT_seq_169,0_0
HGT_seq_170,0_0
HGT_seq_171,0_0
HGT_seq_172,0_0
HGT_seq_173,0_0
HGT_seq_174,0_0
HGT_seq_175,0_0
HGT_seq_176,1_1
HGT_seq_177,0_0
HGT_seq_178,0_0
HGT_seq_179,0_0
HGT_seq_180,0_0
HGT_seq_181,0_0
HGT_seq_182,0_0
HGT_seq_183,0_0
HGT_seq_184,0_0
HGT_seq_185,0_0
HGT_seq_186,0_0
HGT_seq_187,0_0
HGT_seq_188,0_0
HGT_seq_189,0_0
HGT_seq_190,1_1
HGT_seq_191,0_0
HGT_seq_192,0_4
HGT_seq_193,0_0
HGT_seq_194,0_0
HGT_seq_195,0_0
HGT_seq_196,0_0
HGT_seq_197,0_0
HGT_seq_198,0_0
HGT_seq_199,0_0
HGT_seq_200,0_0
HGT_seq_201,0_0
HGT_seq_202,0_0
HGT_seq_203,0_0
HGT_seq_204,0_0
HGT_seq_205,0_0
HGT_seq_206,0_0
HGT_seq_207,0_0
HGT_seq_208,0_0
HGT_seq_209,0_0
HGT_seq_210,0_0
HGT_seq_211,0_0
HGT_seq_212,0_0
HGT_seq_213,0_0
HGT_seq_214,0_0
HGT_seq_215,0_0
HGT_seq_216,0_0
HGT_seq_217,0_0
HGT_seq_218,0_0
HGT_seq_219,0_0
HGT_seq_220,6_3
HGT_seq_221,0_0
HGT_seq_222,0_0
HGT_seq_223,0_0
HGT_seq_224,0_0
HGT_seq_225,0_0
HGT_seq_226,0_0
HGT_seq_227,0_0
HGT_seq_228,0_0
HGT_seq_229,0_0
HGT_seq_230,0_0
HGT_seq_231,0_0
HGT_seq_232,0_0
HGT_seq_233,3_3
HGT_seq_234,0_0
HGT_seq_235,1_1
HGT_seq_236,0_0
HGT_seq_237,0_0
HGT_seq_238,0_0
HGT_seq_239,0_0
HGT_seq_240,0_0
HGT_seq_241,0_0
HGT_seq_242,0_0
HGT_seq_243,0_0
HGT_seq_244,0_0
HGT_seq_245,0_0
HGT_seq_246,0_0
HGT_seq_247,0_0
HGT_seq_248,0_0
HGT_seq_249,0_0
HGT_seq_250,0_0
HGT_seq_251,3_3
HGT_seq_252,1_1
HGT_seq_253,0_0
HGT_seq_254,0_0
HGT_seq_255,0_0
HGT_seq_256,0_0
HGT_seq_257,0_0
HGT_seq_258,0_0
HGT_seq_259,0_0
HGT_seq_260,0_0
HGT_seq_261,0_0
HGT_seq_262,0_0
HGT_seq_263,0_0
HGT_seq_264,0_0
HGT_seq_265,0_0
HGT_seq_266,0_0
