HGT_ID,Sequence_query,Sequence_subject,query_congtig_id,subject_contig_id,MAG 1,MAG 2,q_start,q_end,s_start,s_end,query_length,subject_length,Length,Identity,End Match,Full Match,details
HGT_seq_1,NODE_237_length_1538_cov_16.650708_1_1530,NODE_172_length_1745_cov_10.669231_216_1745,NODE_237_length_1538_cov_16.650708,NODE_172_length_1745_cov_10.669231,s_9002000001247124_37.permissive.fa,s_9002000001462195_20.permissive.fa,1,1530,216,1745,1538,1745,1530,99.085,True,True,"['NODE_237_length_1538_cov_16.650708', 1, 1530, 1530, 's_9002000001247124_37.permissive.fa', 'NODE_172_length_1745_cov_10.669231', 216, 1745, 's_9002000001462195_20.permissive.fa']"
HGT_seq_2,NODE_126_length_4714_cov_15.484868_1326_4384,NODE_75_length_8294_cov_9.468989_5235_8294,NODE_126_length_4714_cov_15.484868,NODE_75_length_8294_cov_9.468989,s_9002000001247124_37.permissive.fa,s_9002000001392831_7.strict.fa,1326,4384,5235,8294,4714,8294,3060,99.346,False,False,"['NODE_126_length_4714_cov_15.484868', 1326, 4384, 3060, 's_9002000001247124_37.permissive.fa', 'NODE_75_length_8294_cov_9.468989', 5235, 8294, 's_9002000001392831_7.strict.fa']"
HGT_seq_3,NODE_19_length_12654_cov_14.835146_1_12654,NODE_159_length_20820_cov_14.984830_1354_14007,NODE_19_length_12654_cov_14.835146,NODE_159_length_20820_cov_14.984830,s_9002000001373308_1.strict.fa,s_9002000001433400_13.orig.fa,1,12654,1354,14007,12654,20820,12654,99.281,False,True,"['NODE_19_length_12654_cov_14.835146', 1, 12654, 12654, 's_9002000001373308_1.strict.fa', 'NODE_159_length_20820_cov_14.984830', 1354, 14007, 's_9002000001433400_13.orig.fa']"
HGT_seq_4,NODE_145_length_4150_cov_15.142857_1_4150,NODE_15_length_14741_cov_12.112829_9280_5133,NODE_145_length_4150_cov_15.142857,NODE_15_length_14741_cov_12.112829,s_9002000001373308_1.strict.fa,s_9002000001484586_20.permissive.fa,1,4150,9280,5133,4150,14741,4150,99.277,False,True,"['NODE_145_length_4150_cov_15.142857', 1, 4150, 4150, 's_9002000001373308_1.strict.fa', 'NODE_15_length_14741_cov_12.112829', 9280, 5133, 's_9002000001484586_20.permissive.fa']"
HGT_seq_5,NODE_28_length_12384_cov_13.669478_4584_9216,NODE_121_length_4631_cov_8.052010_4631_1,NODE_28_length_12384_cov_13.669478,NODE_121_length_4631_cov_8.052010,s_9002000001215917_3.strict.fa,s_9002000001567974_27.permissive.fa,4584,9216,4631,1,12384,4631,4633,99.525,False,True,"['NODE_28_length_12384_cov_13.669478', 4584, 9216, 4633, 's_9002000001215917_3.strict.fa', 'NODE_121_length_4631_cov_8.052010', 4631, 1, 's_9002000001567974_27.permissive.fa']"
HGT_seq_6,NODE_104_length_5089_cov_12.261621_1_5089,NODE_110_length_5354_cov_6.611059_5266_178,NODE_104_length_5089_cov_12.261621,NODE_110_length_5354_cov_6.611059,s_9002000001373308_1.strict.fa,s_9002000001567974_27.permissive.fa,1,5089,5266,178,5089,5354,5089,99.175,True,True,"['NODE_104_length_5089_cov_12.261621', 1, 5089, 5089, 's_9002000001373308_1.strict.fa', 'NODE_110_length_5354_cov_6.611059', 5266, 178, 's_9002000001567974_27.permissive.fa']"
HGT_seq_7,NODE_48_length_10816_cov_12.688040_1_10816,NODE_337_length_13304_cov_11.272775_10858_38,NODE_48_length_10816_cov_12.688040,NODE_337_length_13304_cov_11.272775,s_9002000001247124_37.permissive.fa,s_9002000001433400_13.orig.fa,1,10816,10858,38,10816,13304,10821,99.288,True,True,"['NODE_48_length_10816_cov_12.688040', 1, 10816, 10821, 's_9002000001247124_37.permissive.fa', 'NODE_337_length_13304_cov_11.272775', 10858, 38, 's_9002000001433400_13.orig.fa']"
HGT_seq_8,NODE_126_length_4714_cov_15.484868_1326_4714,NODE_1384_length_7462_cov_27.279465_126_3515,NODE_126_length_4714_cov_15.484868,NODE_1384_length_7462_cov_27.279465,s_9002000001247124_37.permissive.fa,s_9002000001479951_31.orig.fa,1326,4714,126,3515,4714,7462,3390,99.174,True,False,"['NODE_126_length_4714_cov_15.484868', 1326, 4714, 3390, 's_9002000001247124_37.permissive.fa', 'NODE_1384_length_7462_cov_27.279465', 126, 3515, 's_9002000001479951_31.orig.fa']"
HGT_seq_9,NODE_289_length_1819_cov_8.196712_1284_1819,NODE_184_length_3152_cov_10.294156_3152_2617,NODE_289_length_1819_cov_8.196712,NODE_184_length_3152_cov_10.294156,s_9002000001373308_1.strict.fa,s_9002000001446502_20.permissive.fa,1284,1819,3152,2617,1819,3152,536,99.44,True,False,"['NODE_289_length_1819_cov_8.196712', 1284, 1819, 536, 's_9002000001373308_1.strict.fa', 'NODE_184_length_3152_cov_10.294156', 3152, 2617, 's_9002000001446502_20.permissive.fa']"
HGT_seq_10,NODE_243_length_2242_cov_9.932785_963_2242,NODE_217_length_2754_cov_6.751389_14_1293,NODE_243_length_2242_cov_9.932785,NODE_217_length_2754_cov_6.751389,s_9002000001215917_3.strict.fa,s_9002000001447950_2.strict.fa,963,2242,14,1293,2242,2754,1280,99.062,True,False,"['NODE_243_length_2242_cov_9.932785', 963, 2242, 1280, 's_9002000001215917_3.strict.fa', 'NODE_217_length_2754_cov_6.751389', 14, 1293, 's_9002000001447950_2.strict.fa']"
HGT_seq_11,NODE_8_length_17934_cov_12.009676_1_2514,NODE_214_length_2516_cov_7.435189_3_2516,NODE_8_length_17934_cov_12.009676,NODE_214_length_2516_cov_7.435189,s_9002000001215917_3.strict.fa,s_9002000001467905_4.permissive.fa,1,2514,3,2516,17934,2516,2514,99.006,True,True,"['NODE_8_length_17934_cov_12.009676', 1, 2514, 2514, 's_9002000001215917_3.strict.fa', 'NODE_214_length_2516_cov_7.435189', 3, 2516, 's_9002000001467905_4.permissive.fa']"
HGT_seq_12,NODE_237_length_1538_cov_16.650708_1_1530,NODE_83_length_6508_cov_9.613513_290_1819,NODE_237_length_1538_cov_16.650708,NODE_83_length_6508_cov_9.613513,s_9002000001247124_37.permissive.fa,s_9002000001484586_20.permissive.fa,1,1530,290,1819,1538,6508,1530,99.085,False,True,"['NODE_237_length_1538_cov_16.650708', 1, 1530, 1530, 's_9002000001247124_37.permissive.fa', 'NODE_83_length_6508_cov_9.613513', 290, 1819, 's_9002000001484586_20.permissive.fa']"
HGT_seq_13,NODE_136_length_4404_cov_16.850540_1552_3280,NODE_272_length_1729_cov_9.084229_1729_1,NODE_136_length_4404_cov_16.850540,NODE_272_length_1729_cov_9.084229,s_9002000001247124_37.permissive.fa,s_9002000001467905_4.permissive.fa,1552,3280,1729,1,4404,1729,1729,100.0,False,True,"['NODE_136_length_4404_cov_16.850540', 1552, 3280, 1729, 's_9002000001247124_37.permissive.fa', 'NODE_272_length_1729_cov_9.084229', 1729, 1, 's_9002000001467905_4.permissive.fa']"
HGT_seq_14,NODE_145_length_4150_cov_15.142857_90_4150,NODE_43_length_11574_cov_7.969442_1_4061,NODE_145_length_4150_cov_15.142857,NODE_43_length_11574_cov_7.969442,s_9002000001373308_1.strict.fa,s_9002000001416675_19.permissive.fa,90,4150,1,4061,4150,11574,4061,99.458,True,True,"['NODE_145_length_4150_cov_15.142857', 90, 4150, 4061, 's_9002000001373308_1.strict.fa', 'NODE_43_length_11574_cov_7.969442', 1, 4061, 's_9002000001416675_19.permissive.fa']"
HGT_seq_15,NODE_69_length_8322_cov_15.533567_540_8322,NODE_17_length_22831_cov_21.468080_1_7782,NODE_69_length_8322_cov_15.533567,NODE_17_length_22831_cov_21.468080,s_9002000001247124_37.permissive.fa,s_9002000001473223_36.strict.fa,540,8322,1,7782,8322,22831,7783,99.101,True,True,"['NODE_69_length_8322_cov_15.533567', 540, 8322, 7783, 's_9002000001247124_37.permissive.fa', 'NODE_17_length_22831_cov_21.468080', 1, 7782, 's_9002000001473223_36.strict.fa']"
HGT_seq_16,NODE_285_length_1854_cov_8.733185_1_1854,NODE_70_length_9523_cov_10.835234_3177_5030,NODE_285_length_1854_cov_8.733185,NODE_70_length_9523_cov_10.835234,s_9002000001373308_1.strict.fa,s_9002000001462195_20.permissive.fa,1,1854,3177,5030,1854,9523,1854,99.569,False,True,"['NODE_285_length_1854_cov_8.733185', 1, 1854, 1854, 's_9002000001373308_1.strict.fa', 'NODE_70_length_9523_cov_10.835234', 3177, 5030, 's_9002000001462195_20.permissive.fa']"
HGT_seq_17,NODE_138_length_4342_cov_7.911127_1_2706,NODE_293_length_14365_cov_10.428162_6727_9432,NODE_138_length_4342_cov_7.911127,NODE_293_length_14365_cov_10.428162,s_9002000001247124_37.permissive.fa,s_9002000001433400_13.orig.fa,1,2706,6727,9432,4342,14365,2706,99.372,False,False,"['NODE_138_length_4342_cov_7.911127', 1, 2706, 2706, 's_9002000001247124_37.permissive.fa', 'NODE_293_length_14365_cov_10.428162', 6727, 9432, 's_9002000001433400_13.orig.fa']"
HGT_seq_18,NODE_207_length_2896_cov_11.380852_1_2881,NODE_193_length_3013_cov_10.638945_133_3013,NODE_207_length_2896_cov_11.380852,NODE_193_length_3013_cov_10.638945,s_9002000001215917_3.strict.fa,s_9002000001446502_20.permissive.fa,1,2881,133,3013,2896,3013,2881,99.132,True,True,"['NODE_207_length_2896_cov_11.380852', 1, 2881, 2881, 's_9002000001215917_3.strict.fa', 'NODE_193_length_3013_cov_10.638945', 133, 3013, 's_9002000001446502_20.permissive.fa']"
HGT_seq_19,NODE_157_length_3986_cov_10.426100_1_2138,NODE_86_length_6868_cov_9.081609_2610_473,NODE_157_length_3986_cov_10.426100,NODE_86_length_6868_cov_9.081609,s_9002000001373308_1.strict.fa,s_9002000001462195_20.permissive.fa,1,2138,2610,473,3986,6868,2140,99.533,False,False,"['NODE_157_length_3986_cov_10.426100', 1, 2138, 2140, 's_9002000001373308_1.strict.fa', 'NODE_86_length_6868_cov_9.081609', 2610, 473, 's_9002000001462195_20.permissive.fa']"
HGT_seq_20,NODE_115_length_4992_cov_13.828438_1_1730,NODE_202_length_1779_cov_5.957077_51_1779,NODE_115_length_4992_cov_13.828438,NODE_202_length_1779_cov_5.957077,s_9002000001247124_37.permissive.fa,s_9002000001580090_45.strict.fa,1,1730,51,1779,4992,1779,1730,99.075,True,True,"['NODE_115_length_4992_cov_13.828438', 1, 1730, 1730, 's_9002000001247124_37.permissive.fa', 'NODE_202_length_1779_cov_5.957077', 51, 1779, 's_9002000001580090_45.strict.fa']"
HGT_seq_21,NODE_3_length_22155_cov_12.689548_19524_21254,NODE_191_length_2523_cov_8.149109_1_1730,NODE_3_length_22155_cov_12.689548,NODE_191_length_2523_cov_8.149109,s_9002000001215917_3.strict.fa,s_9002000001456330_2.permissive.fa,19524,21254,1,1730,22155,2523,1731,99.076,False,False,"['NODE_3_length_22155_cov_12.689548', 19524, 21254, 1731, 's_9002000001215917_3.strict.fa', 'NODE_191_length_2523_cov_8.149109', 1, 1730, 's_9002000001456330_2.permissive.fa']"
HGT_seq_22,NODE_266_length_1774_cov_10.171030_1_1557,NODE_1_length_29362_cov_11.425803_28519_26965,NODE_266_length_1774_cov_10.171030,NODE_1_length_29362_cov_11.425803,s_9002000001215917_3.strict.fa,s_9002000001456330_2.permissive.fa,1,1557,28519,26965,1774,29362,1557,99.679,False,False,"['NODE_266_length_1774_cov_10.171030', 1, 1557, 1557, 's_9002000001215917_3.strict.fa', 'NODE_1_length_29362_cov_11.425803', 28519, 26965, 's_9002000001456330_2.permissive.fa']"
HGT_seq_23,NODE_16_length_20571_cov_14.790992_16977_18183,NODE_117_length_4855_cov_8.839583_3649_4855,NODE_16_length_20571_cov_14.790992,NODE_117_length_4855_cov_8.839583,s_9002000001247124_37.permissive.fa,s_9002000001580090_45.strict.fa,16977,18183,3649,4855,20571,4855,1207,99.751,False,False,"['NODE_16_length_20571_cov_14.790992', 16977, 18183, 1207, 's_9002000001247124_37.permissive.fa', 'NODE_117_length_4855_cov_8.839583', 3649, 4855, 's_9002000001580090_45.strict.fa']"
HGT_seq_24,NODE_48_length_12800_cov_11.522558_1153_4194,NODE_214_length_3042_cov_8.611316_3042_1,NODE_48_length_12800_cov_11.522558,NODE_214_length_3042_cov_8.611316,s_9002000001287540_19.strict.fa,s_9002000001373308_1.strict.fa,1153,4194,3042,1,12800,3042,3042,99.014,False,True,"['NODE_48_length_12800_cov_11.522558', 1153, 4194, 3042, 's_9002000001287540_19.strict.fa', 'NODE_214_length_3042_cov_8.611316', 3042, 1, 's_9002000001373308_1.strict.fa']"
HGT_seq_25,NODE_28_length_12384_cov_13.669478_1_9292,NODE_37_length_13078_cov_15.001075_9287_1,NODE_28_length_12384_cov_13.669478,NODE_37_length_13078_cov_15.001075,s_9002000001215917_3.strict.fa,s_9002000001476065_22.strict.fa,1,9292,9287,1,12384,13078,9292,99.096,True,False,"['NODE_28_length_12384_cov_13.669478', 1, 9292, 9292, 's_9002000001215917_3.strict.fa', 'NODE_37_length_13078_cov_15.001075', 9287, 1, 's_9002000001476065_22.strict.fa']"
HGT_seq_26,NODE_28_length_12384_cov_13.669478_4498_9216,NODE_122_length_4719_cov_13.793525_1_4719,NODE_28_length_12384_cov_13.669478,NODE_122_length_4719_cov_13.793525,s_9002000001215917_3.strict.fa,s_9002000001580090_45.strict.fa,4498,9216,1,4719,12384,4719,4720,99.47,False,True,"['NODE_28_length_12384_cov_13.669478', 4498, 9216, 4720, 's_9002000001215917_3.strict.fa', 'NODE_122_length_4719_cov_13.793525', 1, 4719, 's_9002000001580090_45.strict.fa']"
